date,source_url
2018-02-07,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001521/tsla-8k_20180207.htm
2018-05-02,https://www.sec.gov/Archives/edgar/data/1318605/000156459018010306/tsla-8k_20180502.htm
2018-08-01,https://www.sec.gov/Archives/edgar/data/1318605/000156459018018490/tsla-8k_20180801.htm
2018-10-24,https://www.sec.gov/Archives/edgar/data/1318605/000156459018024902/tsla-8k_20181024.htm
2019-01-30,https://www.sec.gov/Archives/edgar/data/1318605/000156459019001399/tsla-8k_20190130.htm
2019-04-24,https://www.sec.gov/Archives/edgar/data/1318605/000156459019012758/tsla-8k_20190424.htm
2019-07-24,https://www.sec.gov/Archives/edgar/data/1318605/000156459019025855/tsla-8k_20190724.htm
2019-10-23,https://www.sec.gov/Archives/edgar/data/1318605/000156459019037581/tsla-8k_20191023.htm
2020-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000156459020002489/tsla-8k_20200129.htm
2020-04-29,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019776/tsla-8k_20200429.htm
2020-07-22,https://www.sec.gov/Archives/edgar/data/1318605/000156459020033069/tsla-8k_20200722.htm
2020-10-21,https://www.sec.gov/Archives/edgar/data/1318605/000156459020047108/tsla-8k_20201021.htm
2021-01-27,https://www.sec.gov/Archives/edgar/data/1318605/000156459021002645/tsla-8k_20210127.htm
2021-04-26,https://www.sec.gov/Archives/edgar/data/1318605/000156459021020558/tsla-8k_20210426.htm
2021-07-26,https://www.sec.gov/Archives/edgar/data/1318605/000156459021037953/tsla-8k_20210726.htm
2021-10-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459021051307/tsla-8k_20211020.htm
2022-01-26,https://www.sec.gov/Archives/edgar/data/1318605/000156459022002476/tsla-8k_20220126.htm
2022-04-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459022014917/tsla-8k_20220420.htm
2022-07-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459022026048/tsla-8k_20220720.htm
2022-10-19,https://www.sec.gov/Archives/edgar/data/1318605/000156459022034639/tsla-8k_20221019.htm
2023-01-25,https://www.sec.gov/Archives/edgar/data/1318605/000156459023000799/tsla-8k_20230120.htm
2023-04-19,https://www.sec.gov/Archives/edgar/data/1318605/000156459023005959/tsla-8k_20230419.htm
2023-07-19,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033544/tsla-20230719.htm
2023-10-18,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034588/tsla-20231018.htm
2024-01-24,https://www.sec.gov/Archives/edgar/data/1318605/000095017024007073/tsla-20240124.htm
2024-04-23,https://www.sec.gov/Archives/edgar/data/1318605/000095017024046895/tsla-20240423.htm
2024-07-23,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032603/tsla-20240723.htm
2024-10-23,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043432/tsla-20241023.htm
2025-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828025002993/tsla-20250129.htm
2025-04-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018851/tsla-20250422.htm
2025-07-23,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035738/tsla-20250723.htm
2025-10-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045861/tsla-20251022.htm
2026-01-28,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003837/tsla-20260128.htm
2026-04-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026551/tsla-20260422.htm
2026-07-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828026049213/tsla-20260722.htm
